datetime,read_completed:sda(k),read_completed:sda1(k),read_completed:sda2(k),read_completed:sda3(k),read_completed:sda4(k),rx_bytes:eth0(M),tx_bytes:eth0(M),rx_bytes:eth1(M),tx_bytes:eth1(M),rx_bytes:lo(M),tx_bytes:lo(M)
2025-12-06_00:16:08,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:16:38,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:17:08,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:17:38,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:18:08,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:18:38,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:19:08,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:19:38,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:20:08,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:20:38,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:21:08,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:21:38,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:22:08,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:22:38,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:23:08,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:23:38,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:24:08,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:24:38,59,47,79,2,11,15537,1863,41789,107944,83,83
2025-12-06_00:25:08,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:25:38,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:26:08,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:26:38,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:27:08,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:27:38,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:28:08,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:28:38,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:29:08,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:29:38,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:30:08,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:30:38,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:31:08,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:31:38,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:32:08,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:32:38,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:33:08,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:33:38,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:34:08,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:34:38,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:35:08,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:35:38,59,47,79,2,11,15537,1863,41790,107944,83,83
2025-12-06_00:36:08,59,47,79,2,11,15538,1863,41790,107944,83,83
2025-12-06_00:36:38,59,47,79,2,11,15538,1863,41790,107944,83,83
2025-12-06_00:37:08,59,47,79,2,11,15538,1863,41790,107944,83,83
2025-12-06_00:37:38,59,47,79,2,11,15538,1863,41790,107944,83,83
2025-12-06_00:38:08,59,47,79,2,11,15538,1863,41790,107944,83,83
2025-12-06_00:38:38,59,47,79,2,11,15538,1863,41790,107944,83,83
2025-12-06_00:39:08,59,47,79,2,11,15538,1863,41790,107944,83,83
2025-12-06_00:39:38,59,47,79,2,11,15538,1863,41790,107944,83,83
2025-12-06_00:40:08,59,47,79,2,11,15538,1863,41790,107944,83,83
2025-12-06_00:40:38,59,47,79,2,11,15538,1864,41790,107944,83,83
2025-12-06_00:41:08,59,47,79,2,11,15538,1864,41790,107944,83,83
2025-12-06_00:41:38,59,47,79,2,11,15538,1864,41790,107944,83,83
2025-12-06_00:42:08,59,47,79,2,11,15538,1864,41790,107944,83,83
2025-12-06_00:42:38,59,47,79,2,11,15538,1864,41790,107944,83,83
2025-12-06_00:43:08,59,47,79,2,11,15538,1864,41790,107944,83,83
2025-12-06_00:43:38,59,47,79,2,11,15538,1864,41790,107944,83,83
2025-12-06_00:44:08,59,47,79,2,11,15538,1864,41790,107944,83,83
2025-12-06_00:44:38,59,47,79,2,11,15538,1864,41790,107944,83,83
2025-12-06_00:45:08,59,47,79,2,11,15538,1864,41790,107944,83,83
2025-12-06_00:45:38,59,47,79,2,11,15538,1864,41790,107944,83,83
2025-12-06_00:46:08,59,47,79,2,11,15538,1864,41790,107944,83,83
2025-12-06_00:46:38,59,47,79,2,11,15538,1864,41790,107944,83,83
2025-12-06_00:47:08,59,47,79,2,11,15538,1864,41790,107944,83,83
2025-12-06_00:47:38,59,47,79,2,11,15538,1864,41790,107944,83,83
2025-12-06_00:48:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:48:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:49:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:49:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:50:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:50:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:51:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:51:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:52:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:52:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:53:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:53:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:54:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:54:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:55:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:55:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:56:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:56:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:57:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:57:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:58:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:58:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:59:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_00:59:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:00:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:00:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:01:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:01:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:02:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:02:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:03:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:03:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:04:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:04:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:05:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:05:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:06:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:06:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:07:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:07:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:08:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:08:38,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:09:08,59,47,79,2,11,15538,1864,41791,107944,83,83
2025-12-06_01:09:38,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:10:08,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:10:38,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:11:08,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:11:38,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:12:08,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:12:38,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:13:08,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:13:38,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:14:08,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:14:38,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:15:08,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:15:38,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:16:08,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:16:38,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:17:08,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:17:38,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:18:08,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:18:38,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:19:08,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:19:38,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:20:08,59,47,79,2,11,15538,1864,41792,107944,83,83
2025-12-06_01:20:38,59,47,79,2,11,15538,1864,41792,107945,83,83
2025-12-06_01:21:08,59,47,79,2,11,15538,1864,41792,107945,83,83
2025-12-06_01:21:38,59,47,79,2,11,15538,1864,41792,107945,83,83
2025-12-06_01:22:08,59,47,79,2,11,15538,1864,41792,107945,83,83
2025-12-06_01:22:38,59,47,79,2,11,15538,1864,41792,107945,83,83
2025-12-06_01:23:08,59,47,79,2,11,15538,1864,41792,107945,83,83
2025-12-06_01:23:38,59,47,79,2,11,15538,1864,41792,107945,83,83
2025-12-06_01:24:08,59,47,79,2,11,15538,1864,41792,107945,83,83
2025-12-06_01:24:38,59,47,79,2,11,15538,1864,41792,107945,83,83
2025-12-06_01:25:08,59,47,79,2,11,15538,1864,41792,107945,83,83
2025-12-06_01:25:38,59,47,79,2,11,15538,1864,41792,107945,83,83
2025-12-06_01:26:08,59,47,79,2,11,15538,1864,41792,107945,83,83
2025-12-06_01:26:38,59,47,79,2,11,15538,1864,41792,107945,83,83
2025-12-06_01:27:08,59,47,79,2,11,15538,1864,41792,107945,83,83
2025-12-06_01:27:38,59,47,79,2,11,15538,1864,41792,107945,83,83
2025-12-06_01:28:08,59,47,79,2,11,15538,1864,41792,107945,83,83
2025-12-06_01:28:38,59,47,79,2,11,15539,1864,41792,107945,83,83
2025-12-06_01:29:08,59,47,79,2,11,15539,1864,41792,107945,83,83
2025-12-06_01:29:38,59,47,79,2,11,15539,1864,41792,107945,83,83
2025-12-06_01:30:08,59,47,79,2,11,15539,1864,41792,107945,83,83
2025-12-06_01:30:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:31:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:31:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:32:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:32:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:33:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:33:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:34:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:34:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:35:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:35:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:36:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:36:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:37:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:37:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:38:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:38:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:39:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:39:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:40:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:40:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:41:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:41:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:42:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:42:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:43:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:43:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:44:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:44:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:45:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:45:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:46:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:46:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:47:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:47:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:48:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:48:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:49:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:49:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:50:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:50:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:51:08,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:51:38,59,47,79,2,11,15539,1864,41793,107945,83,83
2025-12-06_01:52:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_01:52:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_01:53:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_01:53:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_01:54:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_01:54:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_01:55:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_01:55:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_01:56:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_01:56:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_01:57:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_01:57:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_01:58:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_01:58:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_01:59:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_01:59:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:00:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:00:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:01:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:01:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:02:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:02:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:03:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:03:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:04:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:04:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:05:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:05:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:06:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:06:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:07:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:07:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:08:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:08:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:09:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:09:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:10:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:10:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:11:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:11:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:12:08,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:12:38,59,47,79,2,11,15539,1864,41794,107945,83,83
2025-12-06_02:13:08,59,47,79,2,11,15539,1864,41795,107945,83,83
2025-12-06_02:13:38,59,47,79,2,11,15539,1864,41795,107945,83,83
2025-12-06_02:14:08,59,47,79,2,11,15539,1864,41795,107945,83,83
2025-12-06_02:14:38,59,47,79,2,11,15539,1864,41795,107945,83,83
2025-12-06_02:15:08,59,47,79,2,11,15539,1864,41795,107945,83,83
2025-12-06_02:15:38,59,47,79,2,11,15539,1864,41795,107945,83,83
2025-12-06_02:16:08,59,47,79,2,11,15539,1864,41795,107945,83,83
2025-12-06_02:16:38,59,47,79,2,11,15539,1864,41795,107945,83,83
2025-12-06_02:17:08,59,47,79,2,11,15539,1864,41795,107945,83,83
2025-12-06_02:17:38,59,47,79,2,11,15539,1864,41795,107945,83,83
2025-12-06_02:18:08,59,47,79,2,11,15539,1864,41795,107945,83,83
2025-12-06_02:18:38,59,47,79,2,11,15539,1864,41795,107945,83,83
2025-12-06_02:19:08,59,47,79,2,11,15539,1864,41795,107945,83,83
2025-12-06_02:19:38,59,47,79,2,11,15539,1864,41795,107945,83,83
2025-12-06_02:20:08,59,47,79,2,11,15539,1864,41795,107945,83,83
2025-12-06_02:20:38,59,47,79,2,11,15540,1864,41795,107945,83,83
2025-12-06_02:21:08,59,47,79,2,11,15540,1864,41795,107945,83,83
2025-12-06_02:21:38,59,47,79,2,11,15540,1864,41795,107945,83,83
2025-12-06_02:22:08,59,47,79,2,11,15540,1864,41795,107945,83,83
2025-12-06_02:22:38,59,47,79,2,11,15540,1864,41795,107945,83,83
2025-12-06_02:23:08,59,47,79,2,11,15540,1864,41795,107945,83,83
2025-12-06_02:23:38,59,47,79,2,11,15540,1864,41795,107945,83,83
2025-12-06_02:24:08,59,47,79,2,11,15540,1864,41795,107945,83,83
2025-12-06_02:24:38,59,47,79,2,11,15540,1864,41795,107945,83,83
2025-12-06_02:25:08,59,47,79,2,11,15540,1864,41795,107945,83,83
2025-12-06_02:25:38,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:26:08,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:26:38,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:27:08,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:27:38,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:28:08,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:28:38,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:29:08,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:29:38,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:30:08,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:30:38,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:31:08,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:31:38,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:32:08,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:32:38,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:33:08,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:33:38,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:34:08,59,47,79,2,11,15540,1864,41795,107946,83,83
2025-12-06_02:34:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:35:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:35:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:36:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:36:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:37:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:37:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:38:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:38:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:39:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:39:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:40:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:40:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:41:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:41:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:42:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:42:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:43:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:43:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:44:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:44:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:45:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:45:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:46:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:46:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:47:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:47:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:48:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:48:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:49:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:49:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:50:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:50:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:51:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:51:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:52:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:52:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:53:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:53:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:54:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:54:38,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:55:08,59,47,79,2,11,15540,1864,41796,107946,83,83
2025-12-06_02:55:38,59,47,79,2,11,15540,1864,41797,107946,83,83
